local_path,topic,title,authority,published_at,source_url,download_url,retrieved_at,status,content_hash,file_type,bytes
regions/municipalities/beijing/guidance/guides/通州区-劳动人事争议仲裁申请办事指南.md,guidance,通州区·劳动人事争议仲裁申请办事指南,北京市人力资源和社会保障局,,https://banshi.beijing.gov.cn/pubtask/task/1/110112000000/c692cfd3-1a9d-4734-8f16-86b3a0dbafee.html,,2026-09-20T23:12:02+08:00,active,ee1ae99df856cd82092124c50c5259826dd96f4ee5e1a8c8f8cff5b9a61ee865,markdown,8662
regions/municipalities/beijing/institutions/arbitration-institutions.md,institutions,北京市劳动人事争议调解仲裁机构名录,北京市人力资源和社会保障局,,https://banshi.beijing.gov.cn/zwfwapi/cycx/shbz/ldrszytjzcjg/query.html,,2026-09-20T23:12:38+08:00,active,1d79c8d55257446babc1eba2bf0f68d373ffe61a640462d2195dd1a1c4b32897,markdown,6941
regions/municipalities/beijing/institutions/arbitration-institutions.json,institutions,北京市劳动人事争议调解仲裁机构名录（查询接口原始数据）,北京市人力资源和社会保障局,,https://banshi.beijing.gov.cn/zwfwapi/cycx/shbz/ldrszytjzcjg/query.html,https://banshi.beijing.gov.cn/zwfwapi/bjmap/query?page=0&size=50&categoryId=ldrszytjzcjg&text=,2026-09-20T23:12:38+08:00,active,0be8c618034f0206283906f40c223cb5a39d22bff06da549c2abc97caa42f6cb,json,10719
regions/municipalities/beijing/jurisdiction/2022-04-01-北京市人力资源和社会保障局关于调整我市劳动人事争议仲裁案件管辖的通知.md,jurisdiction,北京市人力资源和社会保障局关于调整我市劳动人事争议仲裁案件管辖的通知,北京市人力资源和社会保障局,2022-04-01,https://www.beijing.gov.cn/zhengce/gfxwj/202207/t20220714_2771636.html,,2026-09-20T22:59:36+08:00,active,a0aa286dd4a6304dcc0b3668cdab78c852cad068556b1e74c569d95d9a0441d3,markdown,3368
regions/municipalities/beijing/jurisdiction/files/2022-04-01-北京市人力资源和社会保障局关于调整我市劳动人事争议仲裁案件管辖的通知-W020220802491095522860.pdf,jurisdiction,北京市人力资源和社会保障局关于调整我市劳动人事争议仲裁案件管辖的通知 · 附件 W020220802491095522860.pdf,北京市人力资源和社会保障局,2022-04-01,https://www.beijing.gov.cn/zhengce/gfxwj/202207/t20220714_2771636.html,https://www.beijing.gov.cn/zhengce/gfxwj/202207/W020220802491095522860.pdf,2026-09-20T22:59:36+08:00,active,18d9f245135919068a57234f3010a79f055f257a1662f7d072f66358d59f079a,pdf,372083
regions/municipalities/beijing/manuals/files/代理人操作手册.pdf,manuals,代理人操作手册,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/index,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E4%BB%A3%E7%90%86%E4%BA%BA%E6%93%8D%E4%BD%9C%E6%89%8B%E5%86%8C.pdf,2026-09-20T22:55:23+08:00,active,e51ff2143ddd223f70557e99955e6d3ff463213da4f1c19e8a3a97acc4a3e1a0,pdf,6261043
regions/municipalities/beijing/manuals/files/劳动者操作手册.pdf,manuals,劳动者操作手册,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/index,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E5%8A%B3%E5%8A%A8%E8%80%85%E6%93%8D%E4%BD%9C%E6%89%8B%E5%86%8C.pdf,2026-09-20T22:55:23+08:00,active,eac94c116aee8590b36632fb8119fc73fa6a9c708acd66f487f8333c8a54ee0a,pdf,5119810
regions/municipalities/beijing/manuals/files/用人单位操作手册.pdf,manuals,用人单位操作手册,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/index,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E7%94%A8%E4%BA%BA%E5%8D%95%E4%BD%8D%E6%93%8D%E4%BD%9C%E6%89%8B%E5%86%8C.pdf,2026-09-20T22:55:23+08:00,active,8293e025df8bbab6f7174a0ac73fdfddb7eff9fe1cffb6c0c7d35595a8c69de2,pdf,483928
regions/municipalities/beijing/regulations/2020-01-06-关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知.md,regulations,关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知,北京市人力资源和社会保障局,2020-01-06,https://rsj.beijing.gov.cn/xxgk/tzgg/202001/t20200106_1556675.html,,2026-09-20T22:59:36+08:00,active,3597510b81d0b54df69623a141992053643b75a3683b59c8cac7b7e64e9c2983,markdown,4602
regions/municipalities/beijing/regulations/files/2020-01-06-关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知-P020200106345077191726.docx,regulations,关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知 · 附件 P020200106345077191726.docx,北京市人力资源和社会保障局,2020-01-06,https://rsj.beijing.gov.cn/xxgk/tzgg/202001/t20200106_1556675.html,https://rsj.beijing.gov.cn/xxgk/tzgg/202001/P020200106345077191726.docx,2026-09-20T22:59:36+08:00,active,784f02c97cb9358a33e9b6a3042f03bc84656f28b7298e42b7ea7ee644c27645,docx,24309
regions/municipalities/beijing/regulations/files/2020-01-06-关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知-P020260506506389270003.docx,regulations,关于严格落实“护薪”行动全力做好拖欠 农民工工资争议处理工作的通知 · 附件 P020260506506389270003.docx,北京市人力资源和社会保障局,2020-01-06,https://rsj.beijing.gov.cn/xxgk/tzgg/202001/t20200106_1556675.html,https://rsj.beijing.gov.cn/xxgk/tzgg/202001/P020260506506389270003.docx,2026-09-20T22:59:36+08:00,active,3656b11a475f56cd7d6aa2908d8d6085e083b505edfd771f92a367012c6d2700,docx,25429
regions/municipalities/beijing/regulations/2024-04-30-关于印发《北京市高级人民法院、北京市劳动人事争议仲裁委员会关于审理劳动争议案件解答（一）》的通知.md,regulations,关于印发《北京市高级人民法院、北京市劳动人事争议仲裁委员会关于审理劳动争议案件解答（一）》的通知,北京市人力资源和社会保障局,2024-04-30,https://rsj.beijing.gov.cn/xxgk/tzgg/202404/t20240430_3648905.html,,2026-09-20T22:59:36+08:00,active,9e5d48ac0e5cc974b1148a83afc27679891b4bce95a671bcd1d1335b93225652,markdown,66943
regions/municipalities/beijing/regulations/2024-06-17-解读《北京市高级人民法院、北京市劳动人事争议仲裁委员会关于审理劳动争议案件法律适用问题的解答》.md,regulations,解读《北京市高级人民法院、北京市劳动人事争议仲裁委员会关于审理劳动争议案件法律适用问题的解答》,北京市人力资源和社会保障局,2024-06-17,https://rsj.beijing.gov.cn/xxgk/2024zcjd/202406/t20240617_3717660.html,,2026-09-20T22:59:36+08:00,active,38beb3db4ab5a59dd5ebc42e096bde1a67bcb4849a6fd643e1c7c6354be44152,markdown,9765
regions/municipalities/beijing/regulations/2025-01-22-关于加强本市新就业形态劳动纠纷一站式调解工作的通知.md,regulations,关于加强本市新就业形态劳动纠纷一站式调解工作的通知,北京市人力资源和社会保障局,2025-01-22,https://rsj.beijing.gov.cn/xxgk/2024zcwj/202501/t20250122_3996364.html,,2026-09-20T22:59:36+08:00,active,b35f4f3a9b1532ef276b8f2d4ec7de2a55556380124206b94182cdac517f54b6,markdown,9410
regions/municipalities/beijing/templates/files/劳动人事争议仲裁申请书.docx,templates,劳动人事争议仲裁申请书,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/newsList?items=10,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E5%8A%B3%E5%8A%A8%E4%BA%BA%E4%BA%8B%E4%BA%89%E8%AE%AE%E4%BB%B2%E8%A3%81%E7%94%B3%E8%AF%B7%E4%B9%A6.docx,2026-09-20T22:55:23+08:00,active,c36b91e4532b2d3af1428cd7495dae404e5cee0f8e7a37bf831a146c66943ce5,docx,35870
regions/municipalities/beijing/templates/files/劳动人事争议调解申请书.docx,templates,劳动人事争议调解申请书,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/newsList?items=10,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E5%8A%B3%E5%8A%A8%E4%BA%BA%E4%BA%8B%E4%BA%89%E8%AE%AE%E8%B0%83%E8%A7%A3%E7%94%B3%E8%AF%B7%E4%B9%A6.docx,2026-09-20T22:55:23+08:00,active,0de474a60e8c4d13a7fa63675c2dd7de26bdf787e8eb000b805d21703e86cd58,docx,14215
regions/municipalities/beijing/templates/files/授权委托书（申请仲裁）.docx,templates,授权委托书（申请仲裁）,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/newsList?items=10,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E6%8E%88%E6%9D%83%E5%A7%94%E6%89%98%E4%B9%A6%EF%BC%88%E7%94%B3%E8%AF%B7%E4%BB%B2%E8%A3%81%EF%BC%89.docx,2026-09-20T22:55:23+08:00,active,66163b6ba3da60b1f809c3e2a1d9028cb3fa12c85ed8c72409639adf2cfcc691,docx,20593
regions/municipalities/beijing/templates/files/授权委托书（申请调解）.docx,templates,授权委托书（申请调解）,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/newsList?items=10,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E6%8E%88%E6%9D%83%E5%A7%94%E6%89%98%E4%B9%A6%EF%BC%88%E7%94%B3%E8%AF%B7%E8%B0%83%E8%A7%A3%EF%BC%89.docx,2026-09-20T22:55:23+08:00,active,5c797e5c30c8d999f3eb7faf0b03101bdea125382fa30d40f5a6e26bc798e4ff,docx,22469
regions/municipalities/beijing/templates/files/法定代表人身份证明书（通用）.docx,templates,法定代表人身份证明书（通用）,北京市人力资源和社会保障局,,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/html/home/newsList?items=10,https://fuwu.rsj.beijing.gov.cn/zhrs/api4/arbitration/public/doc/%E6%B3%95%E5%AE%9A%E4%BB%A3%E8%A1%A8%E4%BA%BA%E8%BA%AB%E4%BB%BD%E8%AF%81%E6%98%8E%E4%B9%A6%EF%BC%88%E9%80%9A%E7%94%A8%EF%BC%89.docx,2026-09-20T22:55:23+08:00,active,48bc7cdf0d2ad5199f303dc502041f4067fd3d980c93cac89afec51a3b7cc1d1,docx,21494
